2,BAC MIP Pricer (AFL),libRCSP DP pricer
0:d9f361f5f2d514859bdb4b3969bcce68949c6732017029178fea9df854e2a096,1203.8243950000001,165.32183900000001
0:5c8474b58b0020d76c848149ca58a4fa6196c9cc890812985033b28bdf52719c,47.265825999999997,327.65598999999997
0:e2b2a11183af0fae177c22950d8fe93a89db7afe7afda2a372e2b4c10119b837,198.196393,47.505915000000002
0:379e792440c65a5a7650eb7f0b3cbfa1e93d94773361599b0c2434d78c44b3d8,38.203612,196.83570900000001
0:93cef61f2245f65ce23290d77fc32098e73a2a69e110f7519ca2f505763ea6a6,36.969895000000001,218.01419100000001
0:9772d1bb1f405b009668b0cafeeadf263e7fcdb535906a2c961bd3e1d7087355,76.629687000000004,40.516767000000002
0:d1cc48ffb759c6fe850589dac51436df5605c85810f15d7b2912f57901f82b9d,1202.2200869999999,47.053145999999998
0:b61e6c4cfb3387568a080d5bb9602ea2a013ab1a8b957d54270cdb1a8fb154a7,756.53036099999997,195.7079
0:977b21fb2233fe2cb186437e65d17684fc1865740a091527db2542caf681ea9a,36.284792000000003,228.30125100000001
0:82c2912e30544d3f97416772a53f0b1cd4b83cceccd7ee262b98f639ca0faf29,156.195413,222.908109
0:2788575bc83fa1b04e1bcab9efc454f88df535dca69bb6352afb669a936c6c61,35.982239999999997,0.12056699999999999
0:8e93b2a77dd55e097069d7256a0812618490acba5ffcdaa86c489b46aef76e33,47.429186999999999,0.122834
0:3cb9860921ffd149cf23542f0a0f3dd28495a23e310f43113fbac364554ab171,51.989424999999997,0.122127
0:0c0d602cb102c90c69da01157225c6300c2da9d7dfd9127238df5bb9c250dfb0,26.081704999999999,0.122681
0:28ea7765b40fa0f20cd7c75dd47d13d6a28466474da81ef3c13b30aeb9428e36,47.533971999999999,0.123457
0:cca38e176516126e4e83f477c35d609e608ff01b6958899c63806d1ff35554b2,259.99153000000001,0.128914
0:ba5d09e3c333922d8abf5af5fdc68e04efed12f20c02127183250e2e2ca7143d,17.169091000000002,0.122013
0:165b63c65251cdc23ee247ab5bcd73a55d02a14be03eca5fefe30340df110ea0,99.072134000000005,0.12895499999999999
0:e45fb526bd1938f5785d15687b3009b4f5c8ab2a9e73386f0736161a2b040672,81.913573,0.122651
0:9a9a030d62323557ee0831ee9bf70cc7420b7adda3b00be81d4c33771df4bf27,47.155242999999999,0.12846399999999999
0:39fb13245c779f7fa521e4582d3ff8daa34c83a37e7406c2beed4ae5ed57e044,855.43603099999996,0.086126999999999995
0:09f9ed3395c30ef9fd0ef30773f1f46f328ba4d48c538acd080db32933407706,612.58111199999996,0.086274000000000003
0:ac9528273924dae1c51397212afdb1e1578f01ff2e2542acd8f813a132dd4587,128.277671,0.091545000000000001
0:8a10cdcc03307a5e0146018abbfd3ea6d32aca2cce6bf2cafda3cb33210dcd76,1204.472291,0.092774999999999996
0:2be49df95d7b0b4db88bd82d9447baf9c76422a8af2b80f0e3789a36ba2777cf,368.45063399999998,0.087151000000000006
0:4ec4c1eb6b80635655365a3d77285d40f772403eaae03ce60b907cb9e83247fd,242.93909300000001,0.095177999999999999
0:ec8e6a46bb298d8fa5a77ee1af99db5614108834b1a302f47d11872f413002d7,1203.2322019999999,0.089118000000000003
0:3eba89ff1853a346f96ba9ebaae70bade614c70b9066f46eab890b59c79a074f,334.605321,0.093186000000000005
0:35b362b05564c9fd7b41726b8b487f0032e57ceb7896cf1b64f58712e989f9e9,133.58439000000001,0.086127999999999996
0:14bdf8689b5908514afa83cdda8e0d640ea9f48f3ed8717b22f4cd2e25b187e7,188.66121799999999,0.085292999999999994
0:d0757e7f05a3a71a545adac28460168b5469a2d45ca97afc1960f94793a88b71,97.788426000000001,0.13891700000000001
0:74486cd18c7ee20088fe3749843dd3d5977a4d0305b824f8b42328d62c98f395,65.553388999999996,0.139767
0:4008f001f4dd0d5979bbc13ccc77f8fa39f1c08fac9a44dced14be69661e705f,45.176169000000002,0.067851999999999996
0:b92b888de7efc2b615560580c7242f9be6e7ccb60311740e8ab11c503ff08e46,363.02524299999999,0.065974000000000005
0:1104e34368a81c98701409a33918cae0df7988ea0d3c2a9bc0af4d3325a37475,461.92224499999998,0.129304
0:340a604b16f43ba874ea12c9b509580e1364f3ca82218e46232c5b01297287c8,66.976228000000006,0.067872000000000002
0:53c7c1e2227eab1eb2e80d7418560abee8ccbe3cbb87b9f2017152c8799bb49b,920.83106299999997,0.068351999999999996
0:5595952ef43d56ad327fdbfaf345e938c0430c8f700e650cc53247360d7b67b9,91.409836999999996,0.13425200000000001
0:f42ad1464c8e927dd6e50287353e7acd482bf6b8f1edc326be82859d05236cfc,81.291561999999999,0.069286
0:039687b10af538bdfcbb29fea311f83b094b537c789748ebf0b8a87497a26df8,101.525216,0.068913000000000002
0:bcf7ac792b64849e68dc22ab553623b7350ea3d2149ac703afb41222fcd68d69,1202.2282459999999,0.90240600000000004
0:badc65f113297aab601353f52ffa5f14e0ea33c876650bc4c0f89d1a494cd332,1201.736357,0.93760600000000005
0:b47d2d727523d0538665ae98d88ca1faaf8bb902e3f3a832a1bbce70a6e1e945,1201.9353189999999,0.90983099999999995
0:0eb8ddf0afdde58cbd04a331ee90609ac4719a526bb98aaaa4b68ac0efe2ba99,1202.6156759999999,0.90230999999999995
0:e7d09ffe21e684d415ca18c2d135d74a54074bdfe9863f930e279da358afcb16,1200.2247130000001,0.82110399999999995
0:f68c0c44e69b5cfea08f93bbe08808f18e5a833430732a86c4703aa2d15e3085,1202.33878,0.94983399999999996
0:f44be4f2646b44af306e0fb0341d9003bf16c32fd01c7a46f07028bc1e1a5641,1200.4406389999999,0.90999799999999997
0:fc7b8f5e07e0db99c0d02f06691c3248a94a9df7265c985994624789a80be973,1202.422922,0.88112199999999996
0:ee05b3628b4949c6b227a7b5f4762df7aa43d0b1fc11df15ad31d6eac3a83684,1201.7354350000001,0.953179
0:d6d99d0b06551eb04c47effebce6732bf459566d97a14c83cb7e13158a446b5c,1201.9512999999999,0.94977299999999998
0:f5d10527342eb67c7eb0581ce6a29eaf418f7966ca7cfaf9d1d9adc3bdfcabbe,1203.2973919999999,2.3251789999999999
0:98bc5b26a7efc765c73b50213f0388051e708b55fb56d66ee3034a88b23ad521,1203.0301010000001,2.2952170000000001
0:381a2ba9437cf488d7fca718f39cdc8b8944fa739ed3da774df954172761e644,1202.7059409999999,1.905513
0:94e587fe6c184d7c917266b6477899be2a9b80be23b1eb203ed8d96efc6c22e6,1202.75225,2.0131060000000001
0:b4bbde41ac7e7f627560a8ac21af42c2f46a595decf610f6d1d533a6d53310b8,1203.293179,2.3138700000000001
0:08db1b024f5ae578c8551732f44fa4489ed4ff948c0d2b90936eef59f2ceec87,1202.394753,1.93573
0:0f800f9eae16bdcb036f276f3adfb09d7daa9cf5a10a2dd757c41289eb047a3c,1202.456864,2.341558
0:0ca06218e82a5f7c0420a365d6e8df6a04ff35a243a6733975368543758b72b4,1202.2923539999999,1.998119
0:033c2a2b29299aaa307112641e42635affe3045651c41ed1b2bad29c3e1d7506,1203.0199299999999,2.3258160000000001
0:5cc80c2bd60ee1db1732281473c2ee890ed64f96b66f914ba39173006e837ef8,1202.031397,2.0222069999999999
0:ecea9a13bc8aee39fffb7e851fad182b9c3383654cb6b0f92470e1b4e1952ffe,6.0332049999999997,0.081559999999999994
0:c0b618b2709823b42970c3d9b4a797ae4bda034ee4e6c64031a3d234a7a65ef5,5.9133370000000003,0.080340999999999996
0:ba33f140e0fdc06dedcbead062d2fa51bd3862728f7cd0137aeada23e87e3b3b,3.874412,0.076397999999999994
0:6357736384e5f6797b3ddfab1714d6cd2ee499ce14d5776705f2dc9fb307b056,4.1728360000000002,0.082153000000000004
0:1c941972d15e3f3c0c6f6d173c6561f9a09cae6ea719a8af39aff4e79b7ca845,3.8067829999999998,0.073179999999999995
0:c20fee8ad1558011aaca06b632aaf5448440e00949ed411b730c113919872025,3.1378460000000001,0.080709000000000003
0:d0e97cd63a87eb3dc901ee4d400642feb2b281eee85c50558123924283fc0391,3.2366450000000002,0.073721999999999996
0:2d9e26026e5f47faef69220a0e01d83e8704688c0eef01a6eaa76d02c0ada7ae,5.5358270000000003,0.076962000000000003
0:6ee7c39c2c6a8969ceb2bbdd912ff811009a2389884d322df066ab93e99e9f60,4.1091420000000003,0.073167999999999997
0:3a93975d479d5258f4996a0dee4ed4558eccac36060385785a84f963c38c0edd,3.4140429999999999,0.075921000000000002
0:abbcdc39514bb3160ec8fba8b3ac3d1a8154ee63af58e5b5fb84bb14ff82c423,3.5008889999999999,0.13866300000000001
0:7ab760e0dc0f3db7bc9643502cc83c5296fca1de829f278ca88fe00686b5f049,2.3565860000000001,0.13999900000000001
0:8364333de57dc0bcb258af7c343aa2368e0de73083fb239341bd2085431978f8,1.2853220000000001,0.13393099999999999
0:9551f09b5a64997f417043b3d4f9efd3c768b6f0e90987fe8f3e4db6fbfe58f9,1.3214330000000001,0.137985
0:a34b87ac74d48b28a60215fbe4594d270091d5b0e9691369e1b0b10e4ed1f0f7,2.9643169999999999,0.187967
0:8a5482c3d7c8caf631c12bbabb0db428f94851f426c843c3a03755ef079b825a,1.486251,0.194304
0:1be7fac35e6cef86f463325cb0bd3e7a5bd4ed9c6e22012a679e63fd5e9340a2,1.5753550000000001,0.118524
0:325bcb72fd5d968ba30f270844dcf4c8eb359465a3417261b5d7cc8091683a04,2.5972689999999998,0.12707399999999999
0:e55ac561ebfcc8cd5a69923ac38335fa6b893b4dc8ee69049b704dfa569b1ca6,0.92545299999999997,0.136381
0:fbb7e3ba88ffb9832ba55af44b39f3fb5068ee98ce9f083c5e722bca2c3cfe59,3.2032929999999999,0.11648799999999999
0:793c5b2f667a7700549976dd227b06f857934bae255acd785dcf48f51b20b729,374.45311800000002,0.20180200000000001
0:f13c9dfd3c8eea7025c4fc98ede95cb2b83b01d25ee69cef225f1004332c49a9,548.10326899999995,0.15390400000000001
0:6d14b7dc31f43e93fbb74cc9972a8b98d54891ac30adbfc87a98b2c4b1246169,307.32225299999999,0.200155
0:13b238d65787a6d0e08590f1e51d5c45968ee932d5f38dc0e25592e36b92138f,773.35589000000004,0.15443299999999999
0:068f24fdd9deef2fe546bb08368af5065654310157c5d23d215185cff2c54195,537.98452999999995,0.19992599999999999
0:3d42d918178e1f6cb73a7114812f996c46a425a69cd469e677093bdc93b938ef,481.60743000000002,0.153922
0:c4d87640861a404b7f0a44e55d6b285f800da8f5fb1fae7e19b92d61ae9797ae,490.23593899999997,0.193879
0:bdcd31428f69dd1f11b4068b3784917c92e681fc607c29a03b5ee88d42ce845b,340.903435,0.16199
0:96469f5bea4e7b4ce81a387a68eeba7cc37437118df02910d576ef5734ce3aed,920.70839899999999,0.20033500000000001
0:8c8b3fa1dacfbd02f821b92f8925677692477d2070c00492de0c326009e49098,589.227081,0.15410799999999999
0:d7a0bc6df95205ca9cf1ad03b1b031ea04d26b0ea4debfba88941baa5159b9aa,28.103497000000001,0.21113100000000001
0:9701cd9218e247276767840504f2ed20d958a7464f3463a901702911d692af28,11.952102999999999,0.195714
0:563e31195873339b4c1203d12dace4eb77f44d47401295b9e9fb0b8656d4df01,22.539287000000002,0.19069900000000001
0:b8a2d91bcba98fe45a19da82674e95a2da985ccdb7a07384a33b01f361ae2086,29.713923000000001,0.19589200000000001
