2,My CPTP MIP pricer,BaPCod
0:f35aadd757d6c42e6efbaaaa3b172e592ba8b7258e3f7917be6660d784331680,10.932298725091531,1.0000022775617601
0:1fa26c75d6c8c2ba3764158049fbe9448af55f517012bda340f0959c0b6cc2b0,11.143501807568478,1.000002321562393
0:da317e1eb976bcec98369f3542d4472de0fc2fd153b9de6dde2a72876731dc96,12.119345635257712,1.0000025248631481
0:36ae1d5067ae053b08da1b328a60933a0ad5aac0900c5624bf09722bdc7aadec,16.258086914698406,1.000003387100735
0:7b1a6a97bcd526c37892e53f98d67c5f4ee414718ee3e7d7e4d23a5f8eaa38a6,12.707221650220879,1.0000026473372923
0:9927236451089bef55338fa4770950facd3f2e491cdfa3aab7bde90d0113dcfe,12.778801442385614,1.000002662249746
0:bd462c1502f7bfe5c9d2ffbace5c65de564fa2c526b9807a78fa696310691939,11.012989221543807,1.0000022943722766
0:383126a1712787105b6ee1635ff7f7e3c4cd0b272836a3711693279456da7cd8,12.380737413074344,1.0000025793197571
0:be574250e564ddd926f43c6295ae8d884628a9d17bd91322194bb9b627ee57e8,12.759063764550879,1.0000026581377306
0:93c5a4b8bc8bf33ebe79ce51c0242f55007ebc339487e57d7f2a053ed2a6baf4,11.332799778934897,1.0000023609994622
0:184b0bb4f774de7d978783b2b8400d7ac0b94cc075146527c26cf74455b9fb52,14.416849315635348,1.0001379350298423
0:8c7f789914c53b1d1feed0e816bb0e503e613bbf0a913c18bf27a77fa750bbd1,7.0315785327827109,1.0001458727493657
0:ee43945ede63b0df4e421259d5e935e7faaae2926067487c0e0ac86af2219c57,12.458399575348619,1.0001317156890508
0:3012be36ba725a77303e785047f5bd24b0e2aa7f7a48361ec8e69ecca14de0b7,1.8362076124567475,1.0001456929521033
0:7710b869015e893431b7ba44fed33fd6bd355c468a873c883101400df85a3d9e,4.6223021582733814,1.000379843960101
0:7dcc0688718e19bfd37a2033bd42457afc473d61b62663f1dd83c4caf9aba5a4,1.7931315505926144,1.0001306037156756
0:1ddcec3b931d824189d50d858347d6b8271043c39ee3fd735d9607d187e252bf,1.664659798107653,1.0001369876149497
0:08afba02c7b951387e98ea50af5737cfd2995a89c764954cb6c9356c751f940a,2.1416875940983893,1.0001501071014169
0:fe793fe3a94f0ddad9f13ff2a1fb59c19f1856451b6136c7f34bf86a60c1e255,1.5027776144847451,1.0001336033903196
0:9332b3cb0be8a57ef9770f4a166f4c94a512d93fb9dd327a9b530b9562772fdb,1.9909221801595811,1.0001482819314018
0:2f536ceb36c525adcd8a6c25b5e68b61a7e8c24bbe635cf8d07dbf92fce2ad51,1.3267670093351436,1.0000754720968337
0:d99195cbcfaa4cb2bb3058dfe44207ceba4d6da85da33423b42219bce7b1a407,1.1335496651191177,1.0000902887252856
0:34012ad83c24677741743a654b3e44fe1f6ccfc2dbfb2bdf6b7935a879ba8dba,1.6247136738618504,1.000100421267216
0:75c9fd482c1f58a10df03a55445621e40e9972a0059d3480fa4748c4506ab8bd,2.8192709461340923,1.0000966863649021
0:8572498ae9efec13c971ee9e3d57a62a7b73304e93c121e57bc8e21fd2f9be45,1.6803531939723277,1.0000869593195607
0:8570f6d448d13f694aaf2d31ee6b9a3e62830160ebc0113bfdd28b593867a551,1.700143230991654,1.0000959993241647
0:763f42908f869e121eede76d4590670eeb15d1234e49328e11a0299b652c501d,1.5019513601522421,1.000084056004835
0:45c1f14d029319eb96742cbcc82b4fdc446ed48a9fb75abb881f7943156329f3,22.129891011023233,1.0000941914931896
0:bf50552f30b68f895d26f2931d463c483ebff4ea49fa97084143b6110d900a8e,1.1722721843691415,1.0000629951418147
0:b08aadb5a64313bcfae1facc8a7e55de1e65065e56d1f4c7c1fab924428d5f2f,3.1475677724354867,1.0000915472585259
