3,BAC MIP Pricer (EFL),BAC MIP Pricer (AFL),BAC MIP Pricer (NFL)
0:0b903ea68561e1078e911a1d00a6d6fd0d95f321577698b7aaf80dbda3f9c882,-9.3036616541402246,1,1
0:cf3c1f8eaf191bb77e7ba0fad6ca54492f07f11f11a1105cf74bc609621eb27e,-9.312052149192164,-4.307354696447403,-0.50280730348152325
0:1ed6480430e162147b080f98cc9b9b552478cae699ed94ecd8a9c528ad401770,-8.3352036829006835,-7.1491649171132101,-0.27823343570683789
0:503ee96488ec6d0950a40706c87564f5a8c8bc2b88b9064be6e0cc809e738743,-8.6684051389908863,-10.147615836111397,1
0:ff131ace07b65eb3cb2db1d58cdf03f7d61f56abe0a42c3d232ed94d9e5a8587,-10.253220988862761,-0.38617503936634989,-0.38617503936636943
0:886ce8dfd042b11d2049e9d74b2e02a9e6db55a8dfae88fed52bec75ec220d9b,-7.3166460631083998,-0.16173005916385819,-0.161730059163844
0:58156cb35554a6434368450900109a5fd9743249c4e10ebeb3c0c0c490a6f237,-10.283174876889811,-0.27312893953153328,-0.27312893953152617
0:735cd7b5aa87adb68f854c6d66b04bc76d04d30666411df72f124bd03557d158,-9.0924945658499094,-1.1350221728955363,-0.28326434135724732
0:f8bcd2476fcc473ae0232280dd9d1ca81a7076cd044c56705257e546ae0d3923,-8.2251362339435961,1,1
0:bffef2770ebb7ba09e2cb23535fa6a44de4c6fa7baadae0370385d53b6a6b8c3,-10.814920108594228,1,1
0:0870c7d17c012e01bda7b2f85213eee6a98795ffccf9b3dad4192b302fbebd9f,-9.7076310548232261,-0.79503940611169033,-0.79503940611167678
0:2d58a53ef0347f290ecbaa14d19d39d7cba16696d3d16fe91d7cc83419471767,-41.491048030767061,-41.491048030762862,-41.491048030765697
0:8e00d0a1fdd117355a9235b6d34d98a04f09695c1ab26f2d61bb1cd2d9bafaf6,-41.108287949692297,-41.108287949692283,-41.108287949692311
0:182a28c274d387f5baeea8442fe6e01cedd0ef09ded831bf53f6bc9aa4cc9c6e,-14.638365901243779,-5.4284047160745148,-0.59993599603812342
0:356291e8c6b6cb0ec3873b2b3040ef472f1ecddefc305b3e45d3e35a6c56f137,-52.494609325195519,-52.494609325202774,-52.494609325197018
0:002332dc009d16d87223c05e3821cb7f1c221b986004556e0bd4484a58317e70,-68.339199448253922,-68.339199448509405,-68.339199448509206
0:142aed8884861b3f4447082de6953fdb5f8a62ca6af723297ddf2e116c670703,-39.884900441083872,-39.884900441123946,-39.884900441124003
0:0e6bad8d4a205b3b5b3e2b46a10683fbddc5c1a1c4d26ed589e8b8b68c8ebfe6,-0.38384859541555727,-0.38384859541019978,-0.38384859541018557
0:6a3ffa3e794b3ca4578be7903672384ea0b63c35658ff5f578f9bd39137bdede,-49.020020831058297,-49.020020831175856,-49.020020831175884
0:57fe1f4897ad87d6c273130ed2981d8c496c180a178accaaf13a3dad18ec8ab8,-13.903773584894193,-11.166666666665527,-2.0000000000002274
0:37aaaa1114b632b791009ea84d58be82268de9b5cbad26e2b71a654755c3a2a1,-9.2126121947891306,1,1
0:9c9f14d6d84eb7d175f5a3dc6e75a4c9d7702952cbe567fd7d251c72c253b51b,1,1,1
0:c14b2fa0d3dc9b841d939707082d62eed7b77a9f0e734b75f2d3ab8b35690ab4,1,1,1
0:3c7c7eebd6dac79c96f448e96c2373e4bc00d7716af79f46e759f1c1b5fdf4d4,-5.0814046473864902,1,1
0:de1cabf8f6f61cf0dd762ba5e250cc2778b1f9a75e2e8c9cfc7918a771cebc90,-6.0357070416946437,1,1
0:0029fe67dca5ac037f26f020e5344b16a9367218f641bb1e21f41a626cc03171,-10.763124456963739,1,1
0:977c5c1bc783b674952b828f8b4e8c27b507384cd5f686282e8e8d6c32a6a4a0,-9.2658104982843099,1,1
0:29dd1b595bb213d3722a41bc30e65ea56c22aff7881fe525ff5ae39153d84e45,0,1,1
0:d0874464084622a7db52a63cf99857a0a13c13646ace1b023f3ce7ac7b43babc,-5.13349821813497,1,1
0:b4789ac989c3832a3e981878261142decf54c362750b7af8768a9401a8cdd914,1,1,1
