3,BAC MIP Pricer (EFL),BAC MIP Pricer (AFL),BAC MIP Pricer (NFL)
0:763705e057a1336a04804d8d94d2e7e4b4a2b9ffae83f288f641a75097fd0c5a,2,2,2
0:748bb45d730579bf33dc269968a10f981010880dea22a7d783eb2cb6f3a28c86,2,2,2
0:6daa73160f53bd70099bb76f041f106938c028bbcdef29d4d052f120e1e216b7,2,2,2
0:4d796429f371b29a0386900b560806d12ee30e2537dc1060ffedb0d0ee35ba67,2,2,2
0:ce45cb96046afa1391ab7e15cf164076da111fc0ef4545292fc74a06d0c445fa,2,2,2
0:9a02a587e654f5eeced310e5cd501b095917c0c528ada2187c9d54aa031e5c8a,2,2,2
0:4bb7fc42a95cfb62e222f32d23d46e85baef1efcd0e4353e67b57f038b23a0a7,2,2,2
0:b2927ab29fb79994c1f22dc76867104ca15b342b528119de6bf9e1f284ef58f1,2,2,2
0:73ed9f380af987b15a5937fcb3a661bed599527cb7aca75f3ba519085e0ab143,2,2,2
0:4064b70228d6c74049242045daf15d64bcba5bd0f82c4dd06c82295657e49a6c,2,2,2
0:4f29683953db4cc6d41ddaeace27c47da2a91694d4bcd0357dbbd58a8d54c26c,2,1,2
0:ac3fc6751310bfc8a33b353ecd373c8addd0d76d800474e47c46030dc1ba37e7,2,-0.4705882352941444,2
0:932f287ffe803a99dad9e4972017ca0ef51e7ac17abbda54871ba63be236dfda,2,-0.013176096317724983,2
0:f87dc7d8309fb80224c6e466eebdb2192f823123d88d61dc69c2dbb272b4f5b6,2,-0.29729729729733201,2
0:199fdc8556ed9ddb9a38cb56302786bef290f98f79b2977354667c1328a33ad1,2,-0.49999999999996803,2
0:d57a1fbcb1a8ba92003dc224c8920259f970b57962f8ba60d7068ada58d71a22,2,1,2
0:3e1d1f6ecd5a3887d7c8aa54aeacbd1872dc4889e6adab11d18c666b98f8d671,2,-2.0000000000000782,2
0:32e0fd39c4a1d3ef379770b2c5a12eb1614e6542d917036086e0de84822e55ea,2,1,2
0:6b32452891a4eeae064e2dfa2a18fd87fba7dcfe3caefb21ee0432c7b7217b5f,2,-0.099999999999935696,2
0:741abdd41716f70a1dbc1e575fd14976093231f0aa356b943d0cbe3ec0e602ca,2,-0.49999999999990052,2
0:d74f27241e1d3f620ccde37ba2a557b4e3d48f2ecd4bcfef398fa96ec1a54246,2,-0.49688745577145532,-0.49688745577145532
0:42bbf67f8149d7cf873672d9c685d828860dec60df9a57631544b9424cffed7d,2,-0.74582071972128905,-0.74582071972128905
0:48955261e8db29dca89a343b901f83d90807718e29785a474046409a0fd2e595,2,2,-0.43055836692808214
0:ed3e9b50e17a5671565441d5ee6fa4a9ec636c989d6dd98875acad5551b1379f,2,2,-0.59028297996001733
0:d9a77c084039f5c98b9d673329966f6a478e5236425a5910ea79b7c07634a2cb,2,-0.63586589850995701,-0.63586589850995701
0:f6de013791946a7cc33f65ace38d1a65c2e57d36b2d0895a4890647a75ac12c0,2,2,-0.59950146840406049
0:0e56774612c1ed47547f5af887f215f28c2d9c86b8f51c56d307a3434b884a08,2,2,2
0:24c4ea7f3896c0376be04c728e6f3168ad0875dddf818d493a6cb6ab7860e829,2,-0.59120426705888296,-0.59120426705888096
0:6ee1d6488b10612295b90fe909ed91396fe763bf7bc28d69943994361cab1bac,2,2,-0.50745228822755628
0:bb8885449b86d9ba49c0733141d528ed9322e837187ec63c94181f85a5fddc05,2,-0.65778970049083096,-0.65778970049081664
